City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Mahebourg,MU,71.26,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
3,Vaini,TO,78.96,broken clouds,-21.2,-175.2,Keleti Beach Resort
7,Khalilabad,IN,70.97,clear sky,26.775,83.0736,Afroz tea sthal अफरोज टी स्टाल
8,Rikitea,PF,73.45,overcast clouds,-23.1203,-134.9692,People ThankYou
9,Fare,PF,79.25,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
12,Guantanamo,CU,81.97,few clouds,20.1444,-75.2092,Hotel Guantánamo
14,Aloleng,PH,84.09,overcast clouds,16.1307,119.7824,Aloleng
15,Hobart,AU,82.06,clear sky,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
16,Fukuma,JP,72.28,broken clouds,33.7667,130.4667,Masago
19,Alofi,NU,82.29,scattered clouds,-19.0595,-169.9187,Taloa Heights
22,Ranong,TH,80.53,broken clouds,9.9658,98.6348,Numsai Khaosuay Resort Ranong
23,Bonthe,SL,77.94,light rain,7.5264,-12.505,Bonthe Holiday Village
25,Lazaro Cardenas,MX,78.06,clear sky,17.9583,-102.2,HOTEL QUINTA ANTIGUA
32,Hilo,US,80.33,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
33,Lucea,JM,78.66,few clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
34,Vao,NC,73.11,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
35,The Valley,AI,82.26,broken clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
36,Butaritari,KI,81.73,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
39,Kavieng,PG,85.01,broken clouds,-2.5744,150.7967,Nusa Island Retreat
44,Saint-Philippe,RE,71.19,broken clouds,-21.3585,55.7679,Le four à pain
51,Avarua,CK,77.05,scattered clouds,-21.2078,-159.775,Paradise Inn
53,San Patricio,US,78.66,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
54,Georgetown,MY,84.13,few clouds,5.4112,100.3354,Cititel Penang
55,Namatanai,PG,86.45,light rain,-3.6667,152.4333,Seagulls Inn Namatani
60,Puntarenas,CR,75.88,overcast clouds,9.9763,-84.8384,Hotel Don Robert
62,New Norfolk,AU,81.72,broken clouds,-42.7826,147.0587,The Shingles Riverside Cottages
66,Victoria,HK,80.96,few clouds,22.2855,114.1577,Mini Central
68,Kulhudhuffushi,MV,81.19,overcast clouds,6.6221,73.07,Haajy Guest House 1
69,Klaeng,TH,84.94,overcast clouds,12.7797,101.6483,สวัสดีการ์เดนท์รีสอร์ท
71,Airai,TL,73.22,broken clouds,-8.9266,125.4092,
74,Kapaa,US,84.18,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
76,Itarema,BR,78.21,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
77,Marawi,PH,79.9,overcast clouds,7.9986,124.2928,Derogongan Residence
78,Sao Filipe,CV,77.5,overcast clouds,14.8961,-24.4956,Hotel Xaguate
81,Lambarene,GA,73.6,light rain,-0.7001,10.2406,Le Refuge
84,Tura,IN,70.41,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
87,Araceli,PH,83.82,light rain,10.5529,119.9913,My Home Town
91,Minapasuk,PH,81.61,broken clouds,10.6988,123.3536,Julia Abrigoso Residences
92,Port Blair,IN,83.08,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
94,Vanimo,PG,83.75,light rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
97,Biloela,AU,84.96,overcast clouds,-24.4167,150.5,Silo Motor Inn Biloela
99,Labuhan,ID,80.1,overcast clouds,-6.8844,112.2051,DoubleFAG
113,Kloulklubed,PW,81.1,moderate rain,7.0419,134.2556,Storyboard Beach Resort
114,Hambantota,LK,77.34,broken clouds,6.1241,81.1185,Bungalow 63
115,Touros,BR,77.22,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
117,Vila Velha,BR,71.55,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
119,Richards Bay,ZA,70.41,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
121,Morondava,MG,78.26,overcast clouds,-20.2833,44.2833,La Case Bambou
123,Machiques,VE,74.7,overcast clouds,10.0644,-72.545,hotel el markes
127,Atuona,PF,77.29,broken clouds,-9.8,-139.0333,Villa Enata
129,Naze,JP,76.12,broken clouds,28.3667,129.4833,Shishime Hotel
131,Yen Bai,VN,77.13,scattered clouds,21.7,104.8667,AK MOTEL
132,Oussouye,SN,77.23,clear sky,12.485,-16.5469,Auberge du Routard
138,Grand Gaube,MU,71.38,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
144,Bambous Virieux,MU,71.22,few clouds,-20.3428,57.7575,Casa Tia Villa
147,Bubaque,GW,81.95,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
151,Iquitos,PE,78.84,clear sky,-3.7481,-73.2472,Cortez Malaga Techy Caroly
152,Waingapu,ID,87.06,few clouds,-9.6567,120.2641,Pondok Wisata Elim
158,Bombay,IN,76.89,haze,19.0144,72.8479,Hotel Avon Ruby-Dadar Hotels
159,Davila,PH,87.78,scattered clouds,18.4726,120.5763,Blue Ridge Beach Resort
161,Kresek,ID,83.55,heavy intensity rain,-6.1314,106.3797,rumah alya
165,Kavaratti,IN,82.8,broken clouds,10.5669,72.642,Green leaf
167,Hithadhoo,MV,81.84,overcast clouds,-0.6,73.0833,Scoop Guest House
168,Prainha,BR,77.41,overcast clouds,-1.8,-53.48,Casa Rocha
169,Lorengau,PG,83.3,moderate rain,-2.0226,147.2712,Lorengau Harbourside Hotel
170,Cap Malheureux,MU,71.47,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
178,Resistencia,AR,75.18,clear sky,-27.4606,-58.9839,Niyat Urban Hotel
180,Isangel,VU,86.11,broken clouds,-19.55,169.2667,Tanna Lodge
181,Ugoofaaru,MV,80.71,overcast clouds,5.6667,73.0,Ungoofaaru Inn
182,Quepos,CR,75.83,overcast clouds,9.4236,-84.1652,Jungle Beach Hotel at Manuel Antonio
184,Charagua,BO,77.88,scattered clouds,-19.8,-63.2167,Hotel
